Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,cluster_k5,PC1,PC2,PC1_3,PC2_3,PC3_3,TSNE1,TSNE2
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,0,1.236851962779458,1.156387818261087,1.236851962779458,1.156387818261087,-0.529560341569882,26.155352,-2.1677508
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6,3,-1.5530046936475472,0.7103510411471514,-1.5530046936475472,0.7103510411471514,-1.6893640666866865,-8.168963,-0.97555673
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4,1,0.11124682969276531,-0.06202158732463455,0.11124682969276531,-0.06202158732463455,-0.6272553766678847,4.2222233,-39.94975
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4,1,0.9219934544052741,0.5107257374828785,0.9219934544052741,0.5107257374828785,-0.806049245298644,29.28261,-6.2600436
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,0,1.7138408505650944,-0.46840188291308876,1.7138408505650944,-0.46840188291308876,0.9697683184365317,18.908955,19.546888
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,0,1.6998010280017792,-1.0951183607415984,1.6998010280017792,-1.0951183607415984,1.2815495462016724,19.321802,17.884752
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8,0,0.6981774818429687,-0.4967549875042306,0.6981774818429687,-0.4967549875042306,0.5086823464108352,18.932,9.609933
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8.0,0,2.4064423590160655,0.2951473892633591,2.4064423590160655,0.2951473892633591,-0.8488288744215363,27.030212,16.799845
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2,3,-1.6595437326128084,0.12621391938733545,-1.6595437326128084,0.12621391938733545,0.11258949016433188,-33.703865,2.473695
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9,2,-0.8409207892087758,-0.3251949180438876,-0.8409207892087758,-0.3251949180438876,0.7360401278044626,-22.115248,18.37019
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5,2,-1.6795803315155111,-1.7464589593895683,-1.6795803315155111,-1.7464589593895683,0.06148777319048649,-27.04507,0.5986927
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8,2,-1.4308542521759202,-0.3873518707800934,-1.4308542521759202,-0.3873518707800934,-0.2953491424035657,-11.504688,-13.008443
